ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code,school_id
High School,Morning,5,2021-22,90.3846153846154,5,TNIS00300A,29805
High School,Morning,5,2021-22,90.3846153846154,5,TNIS00300A,29806
High School,Morning,5,2021-22,90.3846153846154,5,TNIS00300A,29807
High School,Morning,5,2021-22,90.3846153846154,5,TNIS00300A,29808
Middle School,Evening,3,2021-22,0.0,1,TNIS00300A,29802
Middle School,Evening,3,2021-22,0.0,2,TNIS00300A,29802
Middle School,Evening,3,2021-22,71.42857142857143,3,TNIS00300A,29802
High School,Evening,5,2021-22,0.0,1,TNIS00300A,29804
High School,Evening,5,2021-22,57.14285714285714,2,TNIS00300A,29804
High School,Evening,5,2021-22,0.0,3,TNIS00300A,29804
High School,Evening,5,2021-22,50.0,4,TNIS00300A,29804
High School,Evening,5,2021-22,66.66666666666666,5,TNIS00300A,29804
High School,Morning,5,2021-22,91.13475177304964,1,TNSD02000X,29816
High School,Morning,5,2021-22,91.13475177304964,1,TNSD02000X,29817
High School,Morning,5,2021-22,91.13475177304964,1,TNSD02000X,29819
High School,Morning,5,2021-22,91.25,2,TNSD02000X,29816
High School,Morning,5,2021-22,91.25,2,TNSD02000X,29817
High School,Morning,5,2021-22,91.25,2,TNSD02000X,29819
High School,Morning,5,2021-22,96.61016949152544,3,TNSD02000X,29816
High School,Morning,5,2021-22,96.61016949152544,3,TNSD02000X,29817
High School,Morning,5,2021-22,96.61016949152544,3,TNSD02000X,29819
High School,Morning,5,2021-22,96.8,4,TNSD02000X,29816
High School,Morning,5,2021-22,96.8,4,TNSD02000X,29817
High School,Morning,5,2021-22,96.8,4,TNSD02000X,29819
High School,Morning,5,2021-22,97.1153846153846,5,TNSD02000X,29816
High School,Morning,5,2021-22,97.1153846153846,5,TNSD02000X,29817
High School,Morning,5,2021-22,97.1153846153846,5,TNSD02000X,29819
High School,Morning,5,2021-22,73.33333333333333,1,TNTD18000T,29833
High School,Morning,5,2021-22,82.05128205128204,2,TNTD18000T,29833
High School,Morning,5,2021-22,81.70731707317073,3,TNTD18000T,29833
High School,Morning,5,2021-22,91.42857142857144,4,TNTD18000T,29833
High School,Morning,5,2021-22,97.57575757575758,5,TNTD18000T,29833
High School,Evening,5,2021-22,0.0,1,TNTD18000T,29834
High School,Evening,5,2021-22,25.0,2,TNTD18000T,29834
High School,Evening,5,2021-22,2.564102564102564,3,TNTD18000T,29834
High School,Evening,5,2021-22,42.85714285714285,4,TNTD18000T,29834
High School,Evening,5,2021-22,65.21739130434783,5,TNTD18000T,29834
High School,Morning,5,2021-22,89.1025641025641,1,TNTD100001,29837
High School,Morning,5,2021-22,89.1025641025641,1,TNTD100001,29839
High School,Morning,5,2021-22,95.65217391304348,2,TNTD100001,29837
High School,Morning,5,2021-22,95.65217391304348,2,TNTD100001,29839
High School,Morning,5,2021-22,98.6013986013986,3,TNTD100001,29837
High School,Morning,5,2021-22,98.6013986013986,3,TNTD100001,29839
High School,Morning,5,2021-22,96.5277777777778,4,TNTD100001,29837
High School,Morning,5,2021-22,96.5277777777778,4,TNTD100001,29839
High School,Morning,5,2021-22,100.0,5,TNTD100001,29837
High School,Morning,5,2021-22,100.0,5,TNTD100001,29839
Middle School,Evening,3,2021-22,0.0,1,TNTD100001,29836
Middle School,Evening,3,2021-22,0.0,2,TNTD100001,29836
Middle School,Evening,3,2021-22,60.0,3,TNTD100001,29836
High School,Evening,5,2021-22,0.0,1,TNTD100001,29838
High School,Evening,5,2021-22,0.0,1,TNTD100001,29840
High School,Evening,5,2021-22,0.0,2,TNTD100001,29838
High School,Evening,5,2021-22,0.0,2,TNTD100001,29840
High School,Evening,5,2021-22,0.0,3,TNTD100001,29838
High School,Evening,5,2021-22,0.0,3,TNTD100001,29840
High School,Evening,5,2021-22,66.66666666666666,4,TNTD100001,29838
High School,Evening,5,2021-22,66.66666666666666,4,TNTD100001,29840
High School,Evening,5,2021-22,66.66666666666666,5,TNTD100001,29838
High School,Evening,5,2021-22,66.66666666666666,5,TNTD100001,29840
High School,Morning,5,2021-22,94.44444444444444,1,TNTD020009,29842
High School,Morning,5,2021-22,94.44444444444444,1,TNTD020009,29844
High School,Morning,5,2021-22,95.18072289156626,2,TNTD020009,29842
High School,Morning,5,2021-22,95.18072289156626,2,TNTD020009,29844
High School,Morning,5,2021-22,93.67088607594935,3,TNTD020009,29842
High School,Morning,5,2021-22,93.67088607594935,3,TNTD020009,29844
High School,Morning,5,2021-22,93.90243902439023,4,TNTD020009,29842
High School,Morning,5,2021-22,93.90243902439023,4,TNTD020009,29844
High School,Morning,5,2021-22,98.57142857142858,5,TNTD020009,29842
High School,Morning,5,2021-22,98.57142857142858,5,TNTD020009,29844
High School,Evening,5,2021-22,0.0,1,TNTD020009,29843
High School,Evening,5,2021-22,0.0,1,TNTD020009,29845
High School,Evening,5,2021-22,0.0,2,TNTD020009,29843
High School,Evening,5,2021-22,0.0,2,TNTD020009,29845
High School,Evening,5,2021-22,0.0,3,TNTD020009,29843
High School,Evening,5,2021-22,0.0,3,TNTD020009,29845
High School,Evening,5,2021-22,100.0,4,TNTD020009,29843
High School,Evening,5,2021-22,100.0,4,TNTD020009,29845
High School,Evening,5,2021-22,78.57142857142857,5,TNTD020009,29843
High School,Evening,5,2021-22,78.57142857142857,5,TNTD020009,29845
High School,Morning,5,2021-22,85.85365853658537,1,TNTF02000G,29853
High School,Morning,5,2021-22,93.5483870967742,2,TNTF02000G,29853
High School,Morning,5,2021-22,90.77669902912622,3,TNTF02000G,29853
High School,Morning,5,2021-22,94.5054945054945,4,TNTF02000G,29853
High School,Morning,5,2021-22,97.94520547945206,5,TNTF02000G,29853
High School,Evening,5,2021-22,0.0,1,TNTF02000G,29854
High School,Evening,5,2021-22,0.0,2,TNTF02000G,29854
High School,Evening,5,2021-22,4.3478260869565215,3,TNTF02000G,29854
High School,Evening,5,2021-22,70.0,4,TNTF02000G,29854
High School,Evening,5,2021-22,50.0,5,TNTF02000G,29854
High School,Morning,5,2021-22,90.31413612565446,1,TNIS013001,29856
High School,Morning,5,2021-22,94.70404984423676,2,TNIS013001,29856
High School,Morning,5,2021-22,91.2280701754386,3,TNIS013001,29856
High School,Morning,5,2021-22,92.19858156028369,4,TNIS013001,29856
High School,Morning,5,2021-22,95.1219512195122,5,TNIS013001,29856
High School,Evening,5,2021-22,0.0,1,TNIS013001,29857
High School,Evening,5,2021-22,0.0,2,TNIS013001,29857
High School,Evening,5,2021-22,3.0303030303030303,3,TNIS013001,29857
High School,Evening,5,2021-22,53.333333333333336,4,TNIS013001,29857
High School,Evening,5,2021-22,77.77777777777779,5,TNIS013001,29857
High School,Morning,5,2021-22,94.96124031007751,1,TNPC02000A,29877
High School,Morning,5,2021-22,94.96124031007751,1,TNPC02000A,29878
High School,Morning,5,2021-22,94.96124031007751,1,TNPC02000A,29879
High School,Morning,5,2021-22,94.96124031007751,1,TNPC02000A,29880
High School,Morning,5,2021-22,96.11111111111111,2,TNPC02000A,29877
High School,Morning,5,2021-22,96.11111111111111,2,TNPC02000A,29878
High School,Morning,5,2021-22,96.11111111111111,2,TNPC02000A,29879
High School,Morning,5,2021-22,96.11111111111111,2,TNPC02000A,29880
High School,Morning,5,2021-22,97.65258215962442,3,TNPC02000A,29877
High School,Morning,5,2021-22,97.65258215962442,3,TNPC02000A,29878
High School,Morning,5,2021-22,97.65258215962442,3,TNPC02000A,29879
High School,Morning,5,2021-22,97.65258215962442,3,TNPC02000A,29880
High School,Morning,5,2021-22,97.01492537313432,4,TNPC02000A,29877
High School,Morning,5,2021-22,97.01492537313432,4,TNPC02000A,29878
High School,Morning,5,2021-22,97.01492537313432,4,TNPC02000A,29879
High School,Morning,5,2021-22,97.01492537313432,4,TNPC02000A,29880
High School,Morning,5,2021-22,99.06976744186046,5,TNPC02000A,29877
High School,Morning,5,2021-22,99.06976744186046,5,TNPC02000A,29878
High School,Morning,5,2021-22,99.06976744186046,5,TNPC02000A,29879
High School,Morning,5,2021-22,99.06976744186046,5,TNPC02000A,29880
High School,Morning,5,2021-22,85.85858585858585,1,TNPM01000X,29883
High School,Morning,5,2021-22,85.85858585858585,1,TNPM01000X,29884
High School,Morning,5,2021-22,92.89340101522842,2,TNPM01000X,29883
High School,Morning,5,2021-22,92.89340101522842,2,TNPM01000X,29884
High School,Morning,5,2021-22,90.14778325123152,3,TNPM01000X,29883
High School,Morning,5,2021-22,90.14778325123152,3,TNPM01000X,29884
High School,Morning,5,2021-22,96.89119170984456,4,TNPM01000X,29883
High School,Morning,5,2021-22,96.89119170984456,4,TNPM01000X,29884
High School,Morning,5,2021-22,98.42931937172776,5,TNPM01000X,29883
High School,Morning,5,2021-22,98.42931937172776,5,TNPM01000X,29884
Middle School,Evening,3,2021-22,0.0,1,TNPM01000X,29882
Middle School,Evening,3,2021-22,0.0,2,TNPM01000X,29882
Middle School,Evening,3,2021-22,82.35294117647058,3,TNPM01000X,29882
High School,Evening,5,2021-22,3.4482758620689653,1,TNPM01000X,29885
High School,Evening,5,2021-22,50.0,2,TNPM01000X,29885
High School,Evening,5,2021-22,17.02127659574468,3,TNPM01000X,29885
High School,Evening,5,2021-22,80.0,4,TNPM01000X,29885
High School,Evening,5,2021-22,82.6086956521739,5,TNPM01000X,29885
High School,Morning,5,2021-22,97.31182795698923,1,TNIS00600T,29887
High School,Morning,5,2021-22,97.31182795698923,1,TNIS00600T,29888
High School,Morning,5,2021-22,97.31182795698923,1,TNIS00600T,29889
High School,Morning,5,2021-22,97.31182795698923,1,TNIS00600T,29890
High School,Morning,5,2021-22,97.31182795698923,1,TNIS00600T,29891
High School,Morning,5,2021-22,97.31182795698923,1,TNIS00600T,29892
High School,Morning,5,2021-22,97.0414201183432,2,TNIS00600T,29887
High School,Morning,5,2021-22,97.0414201183432,2,TNIS00600T,29888
High School,Morning,5,2021-22,97.0414201183432,2,TNIS00600T,29889
High School,Morning,5,2021-22,97.0414201183432,2,TNIS00600T,29890
High School,Morning,5,2021-22,97.0414201183432,2,TNIS00600T,29891
High School,Morning,5,2021-22,97.0414201183432,2,TNIS00600T,29892
High School,Morning,5,2021-22,96.66666666666669,3,TNIS00600T,29887
High School,Morning,5,2021-22,96.66666666666669,3,TNIS00600T,29888
High School,Morning,5,2021-22,96.66666666666669,3,TNIS00600T,29889
High School,Morning,5,2021-22,96.66666666666669,3,TNIS00600T,29890
High School,Morning,5,2021-22,96.66666666666669,3,TNIS00600T,29891
High School,Morning,5,2021-22,96.66666666666669,3,TNIS00600T,29892
High School,Morning,5,2021-22,98.36065573770492,4,TNIS00600T,29887
High School,Morning,5,2021-22,98.36065573770492,4,TNIS00600T,29888
High School,Morning,5,2021-22,98.36065573770492,4,TNIS00600T,29889
High School,Morning,5,2021-22,98.36065573770492,4,TNIS00600T,29890
High School,Morning,5,2021-22,98.36065573770492,4,TNIS00600T,29891
High School,Morning,5,2021-22,98.36065573770492,4,TNIS00600T,29892
High School,Morning,5,2021-22,98.77300613496932,5,TNIS00600T,29887
High School,Morning,5,2021-22,98.77300613496932,5,TNIS00600T,29888
High School,Morning,5,2021-22,98.77300613496932,5,TNIS00600T,29889
High School,Morning,5,2021-22,98.77300613496932,5,TNIS00600T,29890
High School,Morning,5,2021-22,98.77300613496932,5,TNIS00600T,29891
High School,Morning,5,2021-22,98.77300613496932,5,TNIS00600T,29892
High School,Morning,5,2021-22,88.54961832061069,1,TNPM02000E,29894
High School,Morning,5,2021-22,88.54961832061069,1,TNPM02000E,29895
High School,Morning,5,2021-22,93.10344827586206,2,TNPM02000E,29894
High School,Morning,5,2021-22,93.10344827586206,2,TNPM02000E,29895
High School,Morning,5,2021-22,92.36111111111111,3,TNPM02000E,29894
High School,Morning,5,2021-22,92.36111111111111,3,TNPM02000E,29895
High School,Morning,5,2021-22,94.9640287769784,4,TNPM02000E,29894
High School,Morning,5,2021-22,94.9640287769784,4,TNPM02000E,29895
High School,Morning,5,2021-22,95.53571428571428,5,TNPM02000E,29894
High School,Morning,5,2021-22,95.53571428571428,5,TNPM02000E,29895
High School,Morning,5,2021-22,88.73239436619718,1,TNPC04000G,29897
High School,Morning,5,2021-22,98.8095238095238,2,TNPC04000G,29897
High School,Morning,5,2021-22,97.36842105263158,3,TNPC04000G,29897
High School,Morning,5,2021-22,97.61904761904762,4,TNPC04000G,29897
High School,Morning,5,2021-22,100.0,5,TNPC04000G,29897
High School,Morning,5,2021-22,95.6989247311828,1,TNPS01000V,29901
High School,Morning,5,2021-22,95.6989247311828,1,TNPS01000V,29902
High School,Morning,5,2021-22,96.7391304347826,2,TNPS01000V,29901
High School,Morning,5,2021-22,96.7391304347826,2,TNPS01000V,29902
High School,Morning,5,2021-22,96.7391304347826,3,TNPS01000V,29901
High School,Morning,5,2021-22,96.7391304347826,3,TNPS01000V,29902
High School,Morning,5,2021-22,96.61016949152544,4,TNPS01000V,29901
High School,Morning,5,2021-22,96.61016949152544,4,TNPS01000V,29902
High School,Morning,5,2021-22,100.0,5,TNPS01000V,29901
High School,Morning,5,2021-22,100.0,5,TNPS01000V,29902
High School,Morning,5,2021-22,88.62973760932945,1,TNPS02000D,29905
High School,Morning,5,2021-22,88.62973760932945,1,TNPS02000D,29906
High School,Morning,5,2021-22,97.12230215827336,2,TNPS02000D,29905
High School,Morning,5,2021-22,97.12230215827336,2,TNPS02000D,29906
High School,Morning,5,2021-22,96.57794676806084,3,TNPS02000D,29905
High School,Morning,5,2021-22,96.57794676806084,3,TNPS02000D,29906
High School,Morning,5,2021-22,97.87985865724382,4,TNPS02000D,29905
High School,Morning,5,2021-22,97.87985865724382,4,TNPS02000D,29906
