data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code,school_id
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,nan,222059596,Morning,0.02,50.0,1.0,2020-21,5,TNCF004001,29273
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,nan,222059599,Morning,0.2941176470588235,68.0,20.0,2020-21,1,TNCF003001,29283
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,nan,222059599,Morning,0.0224719101123595,89.0,2.0,2020-21,2,TNCF003001,29283
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,nan,222059599,Morning,0.1558441558441558,77.0,12.0,2020-21,3,TNCF003001,29283
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,nan,222059599,Morning,0.0,66.0,0.0,2020-21,4,TNCF003001,29283
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,nan,222059599,Morning,0.0,59.0,0.0,2020-21,5,TNCF003001,29283
1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,nan,222059599,Evening,0.4181818181818181,55.0,23.0,2020-21,3,TNCF003001,29284
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,229.0,0.0,2020-21,1,TNIS00300A,29803
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,229.0,0.0,2020-21,1,TNIS00300A,29805
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,229.0,0.0,2020-21,1,TNIS00300A,29806
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,229.0,0.0,2020-21,1,TNIS00300A,29807
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,229.0,0.0,2020-21,1,TNIS00300A,29808
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.005,200.0,1.0,2020-21,2,TNIS00300A,29803
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.005,200.0,1.0,2020-21,2,TNIS00300A,29805
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.005,200.0,1.0,2020-21,2,TNIS00300A,29806
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.005,200.0,1.0,2020-21,2,TNIS00300A,29807
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.005,200.0,1.0,2020-21,2,TNIS00300A,29808
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,180.0,0.0,2020-21,3,TNIS00300A,29803
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,180.0,0.0,2020-21,3,TNIS00300A,29805
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,180.0,0.0,2020-21,3,TNIS00300A,29806
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,180.0,0.0,2020-21,3,TNIS00300A,29807
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,180.0,0.0,2020-21,3,TNIS00300A,29808
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,120.0,0.0,2020-21,4,TNIS00300A,29803
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,120.0,0.0,2020-21,4,TNIS00300A,29805
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,120.0,0.0,2020-21,4,TNIS00300A,29806
1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0,120.0,0.0,2020-21,4,TNIS00300A,29807
