,school_id,miur_code,score,school_name
157,29514,TNEE817049,"5,0",SCUOLA PRIMARIA ALBIANO
158,29516,TNMM817015,"2,5","SCUOLA SECONDARIA DI PRIMO GRADO ""G. ALESSANDRINI"" CIVEZZANO"
159,29517,TNMM817026,"5,0",SCUOLA SECONDARIA DI PRIMO GRADO ALBIANO
160,29529,TNMM838027,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" PIEVE DI BONO"
161,29396,,"3,7","SCUOLA DELL'INFANZIA DI ROVERETO ""C. BATTISTI"""
162,29403,,"4,0",SCUOLA DELL'INFANZIA DI TERRAGNOLO PIAZZA
163,29404,,"4,7","SCUOLA DELL'INFANZIA DI TIERNO MORI ""IL GIRASOLE"""
164,134612,TNTN04500G,"3,8",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
165,29413,TNTN04500G,"3,8",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
166,29414,TNPS00500B,"3,8",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
167,29415,TN1E00800N,"3,8",SCUOLA PRIMARIA GARDASCUOLA ARCO
168,29416,TN1M00800V,"3,8",SCUOLA SECONDARIA DI PRIMO GRADO GARDASCUOLA ARCO
169,29419,TNCF002001,"3,0",SETTORE INDUSTRIA E ARTIGIANATO
170,29420,,"3,0",SETTORE INDUSTRIA E ARTIGIANATO SERALE
171,29422,TNEE84801T,"3,0","SCUOLA PRIMARIA ""A. BETTA"" ALA"
172,29426,TNEE82102V,"5,0",SCUOLA PRIMARIA ALDENO
173,29428,TNEE821041,"4,2",SCUOLA PRIMARIA MATTARELLO
174,29430,TNMM82102T,"4,0","SCUOLA SECONDARIA DI PRIMO GRADO ""A. FOGAZZARO"" MATTARELLO"
175,29434,TNEE83204B,"4,0",SCUOLA PRIMARIA COGOLO DI PEIO
176,29435,TNEE83208G,"4,0",SCUOLA PRIMARIA COMMEZZADURA
177,29436,TNEE83207E,"4,0",SCUOLA PRIMARIA PASSO TONALE
178,29438,TNEE83206D,"4,0",SCUOLA PRIMARIA VERMIGLIO
179,29439,TNMM832017,"4,0","SCUOLA SECONDARIA DI PRIMO GRADO ""C. ZANELLA"" FUCINE DI OSSANA"
180,29441,TNEE86002D,"3,7","SCUOLA PRIMARIA ""A.DE VALENTINI"" CALLIANO"
181,29442,TNEE86003E,"3,7","SCUOLA PRIMARIA ""G. TOVAZZI"" VOLANO"
182,29444,TNMM86001B,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""ALTA VALLAGARINA"" VOLANO"
183,29446,TNEE81605E,"4,0","SCUOLA PRIMARIA ""ABRAMO ANDREATTA"" BEDOLLO"
184,29447,TNEE81601A,"5,0","SCUOLA PRIMARIA ""G. DALLAFIOR"" BASELGA DI PINE'"
185,29449,TNMM816019,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""DON GIUSEPPE TARTER""BASELGA DI PINE'"
186,29451,TNEE840039,"5,0","SCUOLA PRIMARIA ""G. SEGANTINI"" ARCO"
187,29452,TNEE840017,"5,0",SCUOLA PRIMARIA BOLOGNANO
188,29454,TNEE84004A,"5,0",SCUOLA PRIMARIA ROMARZOLLO
189,29455,TNMM840016,"3,1","SCUOLA SECONDARIA DI PRIMO GRADO ""N. D'ARCO"" ARCO"
190,29607,TNEE81402Q,"4,5","SCUOLA PRIMARIA ""DON L. MILANI"" PERGINE VALSUGANA"
191,29611,TNEE814071,"4,0",SCUOLA PRIMARIA ZIVIGNAGO
192,29612,TNMM81401N,"4,0","SCUOLA SECONDARIA DI PRIMO GRADO ""C. ANDREATTA"" PERGINE VALSUGANA"
193,29614,TNEE81501E,"5,0","SCUOLA PRIMARIA ""G. RODARI"" PERGINE VALSUGANA"
194,29615,TNEE81502G,"5,0",SCUOLA PRIMARIA CANALE
195,29616,TNEE81504N,"5,0",SCUOLA PRIMARIA MADRANO
196,29618,TNMM81501D,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""T. GARBARI"" PERGINE VALSUGANA"
197,29633,TNEE842031,"5,0","SCUOLA PRIMARIA ""G. FEDRIGONI"" VARONE RIVA DEL GARDA"
198,29645,TNEE85903A,"4,3","SCUOLA PRIMARIA ""M. K. GANDHI"" ROVERETO"
199,29646,TNMM859017,"4,3","SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI"" ROVERETO"
200,29653,TNEE80102N,"5,0","SCUOLA PRIMARIA ""A. DEGASPERI"" PIEVE TESINO"
201,29655,TNEE80104Q,"4,8",SCUOLA PRIMARIA SAMONE
202,29656,TNEE80105R,"5,0",SCUOLA PRIMARIA SCURELLE
203,29657,TNEE80106T,"5,0",SCUOLA PRIMARIA STRIGNO
204,29658,TNEE80107V,"5,0",SCUOLA PRIMARIA VILLA AGNEDO
205,29659,TNMM80102L,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""O. BRENTARI"" STRIGNO"
206,29564,TNEE83704E,"5,0",SCUOLA PRIMARIA CAMPO LOMASO
207,29567,TNMM83701A,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""G. PRATI"" PONTE ARCHE"
208,29574,TNEE825037,"4,0","SCUOLA PRIMARIA ""A. FRANK"" ZAMBANA"
209,29575,TNEE825015,"4,5","SCUOLA PRIMARIA ""DON G. GRAZIOLI"" LAVIS"
210,29576,TNEE825026,"5,0",SCUOLA PRIMARIA PRESSANO LAVIS
211,29577,TNMM825014,"4,8","SCUOLA SECONDARIA DI PRIMO GRADO ""A. STAINER"" LAVIS"
212,29581,TNEE818012,"5,0","SCUOLA PRIMARIA ""PADRE B. MARTINELLI"" CALCERANICA AL LAGO"
213,29582,TNEE818034,"5,0",SCUOLA PRIMARIA LEVICO TERME
214,29583,TNMM818011,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. DE GASPARIS"" LEVICO TERME"
215,29585,TNEE82304L,"3,4","SCUOLA PRIMARIA ""A. DEGASPERI"" MEZZOCORONA"
216,29588,TNEE82301D,"5,0",SCUOLA PRIMARIA GRUMO
217,29589,TNMM82301C,"4,8","SCUOLA SECONDARIA DI PRIMO GRADO ""E. CHINI"" MEZZOCORONA"
218,29593,TNEE82407G,"3,0","SCUOLA PRIMARIA ""L. NICOLUSSI"" MOLVENO"
219,29459,TNMM847011,"3,0","SCUOLA SECONDARIA DI PRIMO GRADO ""D. ALIGHIERI"" AVIO"
220,29479,TNEE812024,"4,0",SCUOLA PRIMARIA GRIGNO
221,29480,TNMM812012,"4,3","SCUOLA SECONDARIA DI PRIMO GRADO ""ORA E VEGLIA"" BORGO VALSUGANA"
222,29481,TNMM812023,"4,0","SCUOLA SECONDARIA DI PRIMO GRADO ""S. FANTE"" GRIGNO"
223,29493,TNEE82206V,"4,5","SCUOLA PRIMARIA ""DON L. MILANI"" LASES"
224,29495,TNEE822081,"4,0","SCUOLA PRIMARIA ""P. SARTORI"" SOVER"
225,29499,TNMM82201L,"4,0","SCUOLA SECONDARIA DI PRIMO GRADO ""A. VIELMETTI"" CEMBRA"
226,29664,TNEE826033,"3,8",SCUOLA PRIMARIA TAIO
227,29665,TNMM826021,"3,8","SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" COREDO"
