data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,DIURNO,0.0,155.0,0.0,2020/21,3,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,DIURNO,0.0,172.0,0.0,2020/21,4,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,DIURNO,0.017543859649122806,171.0,3.0,2020/21,5,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,SERALE,0.4166666666666667,12.0,5.0,2020/21,1,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,SERALE,0.09090909090909091,11.0,1.0,2020/21,2,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,SERALE,0.21052631578947367,38.0,8.0,2020/21,3,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,SERALE,0.1111111111111111,27.0,3.0,2020/21,4,TNTD18000T
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,SERALE,0.05405405405405406,37.0,2.0,2020/21,5,TNTD18000T
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,DIURNO,0.0,138.0,0.0,2020/21,1,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,DIURNO,0.0,149.0,0.0,2020/21,2,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,DIURNO,0.019736842105263157,152.0,3.0,2020/21,3,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,DIURNO,0.0,118.0,0.0,2020/21,4,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,DIURNO,0.0,144.0,0.0,2020/21,5,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,SERALE,0.15384615384615385,13.0,2.0,2020/21,3,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,SERALE,0.0625,16.0,1.0,2020/21,4,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,SERALE,0.3333333333333333,9.0,3.0,2020/21,5,TNTD100001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,DIURNO,0.012987012987012988,77.0,1.0,2020/21,1,TNTD020009
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,DIURNO,0.0,96.0,0.0,2020/21,2,TNTD020009
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,DIURNO,0.0,88.0,0.0,2020/21,3,TNTD020009
