,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
69,69,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Morning,0.0,144.0,0.0,2020-21,5,TNTD100001
70,70,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Evening,0.1538461538461538,13.0,2.0,2020-21,3,TNTD100001
71,71,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Evening,0.0625,16.0,1.0,2020-21,4,TNTD100001
72,72,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Evening,0.3333333333333333,9.0,3.0,2020-21,5,TNTD100001
73,73,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Morning,0.0129870129870129,77.0,1.0,2020-21,1,TNTD020009
74,74,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Morning,0.0,96.0,0.0,2020-21,2,TNTD020009
75,75,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Morning,0.0,88.0,0.0,2020-21,3,TNTD020009
76,76,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Morning,0.0,77.0,0.0,2020-21,4,TNTD020009
77,77,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Morning,0.0,90.0,0.0,2020-21,5,TNTD020009
78,78,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Evening,0.1111111111111111,9.0,1.0,2020-21,3,TNTD020009
