,teaching_unit,date_for_find_type_of_courses_of_study,title,indirizzo,school_id
228,15075,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo scientifico,29910
229,2238555,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto professionale settore servizi indirizzo ""servizi socio-sanitari"" articolazione ""arti ausiliarie delle professioni sanitarie: odontotecnico""",29919
230,2238553,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""turismo""",29920
231,2238551,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore tecnologico indirizzo ""chimica, materiali e biotecnologie"" articolazione ""biotecnologie sanitarie""",29921
232,2775475,2022-11-12,DIPLOMA PROFESSIONALE,Tecnico dei servizi di animazione turistico-sportiva e del tempo libero,29922
233,2237919,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""turismo""",29413
234,2244652,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo scientifico opzione scienze applicate,29414
235,8899352,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo scientifico opzione scienze applicate,29418
236,2776328,2022-11-12,QUALIFICA PROFESSIONALE,Operatore alla riparazione di veicoli a motore,29419
237,2776328,2022-11-12,QUALIFICA PROFESSIONALE,Operatore delle costruzioni edili,29419
238,2776328,2022-11-12,QUALIFICA PROFESSIONALE,Operatore di carpenteria metallica,29419
239,2776328,2022-11-12,QUALIFICA PROFESSIONALE,Operatore elettrico,29419
240,2776328,2022-11-12,QUALIFICA PROFESSIONALE,Operatore meccanico,29419
241,2776328,2022-11-12,QUALIFICA PROFESSIONALE,Operatore meccatronico,29419
242,2776328,2022-11-12,DIPLOMA PROFESSIONALE,Tecnico dell'automazione industriale,29419
243,2776328,2022-11-12,DIPLOMA PROFESSIONALE,Tecnico della modellazione e fabbricazione digitale,29419
244,2776328,2022-11-12,DIPLOMA PROFESSIONALE,Tecnico della programmazione e gestione di impianti di produzione,29419
245,2776328,2022-11-12,DIPLOMA PROFESSIONALE,Tecnico edile,29419
246,2776328,2022-11-12,DIPLOMA PROFESSIONALE,Tecnico elettrico,29419
247,2776328,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto professionale settore industria e artigianato indirizzo ""manutenzione e assistenza tecnica""",29419
248,2776328,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto professionale settore industria e artigianato indirizzo ""produzioni industriali e artigianali"" articolazione ""artigianato""",29419
249,3029767,2022-11-12,QUALIFICA PROFESSIONALE,Operatore elettrico,29420
250,3029767,2022-11-12,QUALIFICA PROFESSIONALE,Operatore meccanico,29420
251,2916869,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto professionale settore servizi indirizzo ""servizi socio-sanitari""",29762
252,2237573,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""amministrazione, finanza e marketing""",29763
