data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,miur_code
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO TRENTO 5,TNIC85200B,0222052905,DIURNO,0.002,500.0,1.0,2020/21,TNIC85200B
1640991603000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""A. Degasperi"" - BORGO VALSUGANA",TNIS00200E,0220229501,DIURNO,0.001408450704225352,710.0,1.0,2020/21,TNIS00200E
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""L. Guetti"" - TIONE DI TRENTO",TNIS00700N,0221999503,DIURNO,0.003322259136212625,903.0,3.0,2020/21,TNIS00700N
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Curie"" - PERGINE VALSUGANA",TNIS004006,0221399501,DIURNO,0.002583979328165375,774.0,2.0,2020/21,TNIS004006
1640991604000,FORMAZIONE PROFESSIONALE,5,Istituto Formazione Professionale Alberghiero - Rovereto,TNCF011001,0221619597,DIURNO,0.006472491909385114,309.0,2.0,2020/21,TNCF011001
1640991604000,FORMAZIONE PROFESSIONALE,5,Istituto Formazione Professionale Alberghiero - Levico,TNCF010001,0221049598,DIURNO,0.019543973941368076,307.0,6.0,2020/21,TNCF010001
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,TNIC810009,0222049701,DIURNO,0.0,380.0,0.0,2020/21,TNIC810009
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,TNIC810009,0222049701,DIURNO,0.0,194.0,0.0,2020/21,TNIC810009
1640991604000,SECONDARIA DI SECONDO GRADO,4,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,TNIC810009,0222049701,DIURNO,0.0,269.0,0.0,2020/21,TNIC810009
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO MORI,TNIC84900G,0221232901,DIURNO,0.0,475.0,0.0,2020/21,TNIC84900G
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO MORI,TNIC84900G,0221232901,DIURNO,0.0,295.0,0.0,2020/21,TNIC84900G
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. Floriani"" RIVA DEL GARDA",TNIS00800D,0221539501,DIURNO,0.008183306055646482,611.0,5.0,2020/21,TNIS00800D
1640991604000,FORMAZIONE PROFESSIONALE,5,"Istituto Formazione Professionale Servizi alla Persona e Legno ""S. Pertini"" - Trento",TNCF012001,0222059595,DIURNO,0.05115089514066496,391.0,20.0,2020/21,TNCF012001
1640991603000,PRIMARIA,2,ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,TNIC82900A,0220742901,DIURNO,0.004149377593360996,482.0,2.0,2020/21,TNIC82900A
1640991603000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,TNIC82900A,0220742901,DIURNO,0.0,290.0,0.0,2020/21,TNIC82900A
1640991604000,PRIMARIA,2,"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""",TNIC85100G,0222052907,DIURNO,0.0,796.0,0.0,2020/21,TNIC85100G
1640991604000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO TRENTO 7 ""Rita Levi Montalcini""",TNIC85100G,0222052907,DIURNO,0.0,484.0,0.0,2020/21,TNIC85100G
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""don L.Milani"" - ROVERETO",TNIS009009,0221619501,DIURNO,0.007299270072992701,822.0,6.0,2020/21,TNIS009009
1640991604000,SECONDARIA DI SECONDO GRADO,4,"LICEO ""A. Maffei"" - RIVA DEL GARDA",TNPC01000Q,0221539502,DIURNO,0.001131221719457014,884.0,1.0,2020/21,TNPC01000Q
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO ROVERETO SUD,TNIC85500V,0221612905,DIURNO,0.0,681.0,0.0,2020/21,TNIC85500V
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ROVERETO SUD,TNIC85500V,0221612905,DIURNO,0.0,342.0,0.0,2020/21,TNIC85500V
1640991603000,PRIMARIA,2,"ISTITUTO COMPRENSIVO CLES  ""B. Clesio""",TNIC83100A,0220622901,DIURNO,0.0,463.0,0.0,2020/21,TNIC83100A
1640991603000,SECONDARIA DI PRIMO GRADO,3,"ISTITUTO COMPRENSIVO CLES  ""B. Clesio""",TNIC83100A,0220622901,DIURNO,0.0,260.0,0.0,2020/21,TNIC83100A
1640991604000,SECONDARIA DI SECONDO GRADO,4,"LICEO LINGUISTICO ""S. M. Scholl"" - TRENTO",TNPS11000Q,0222055913,DIURNO,0.002421307506053269,826.0,2.0,2020/21,TNPS11000Q
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO RIVA 1,TNIC841001,0221532901,DIURNO,0.0,587.0,0.0,2020/21,TNIC841001
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO RIVA 1,TNIC841001,0221532901,DIURNO,0.002403846153846154,416.0,1.0,2020/21,TNIC841001
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO ISERA - ROVERETO,TNIC845008,0221612901,DIURNO,0.0,568.0,0.0,2020/21,TNIC845008
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ISERA - ROVERETO,TNIC845008,0221612901,DIURNO,0.0,291.0,0.0,2020/21,TNIC845008
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO ROVERETO EST,TNIC853007,0221612903,DIURNO,0.003976143141153081,503.0,2.0,2020/21,TNIC853007
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO ROVERETO EST,TNIC853007,0221612903,DIURNO,0.002840909090909091,352.0,1.0,2020/21,TNIC853007
