,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,miur_code
108,108,1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""A. DEGASPERI"" - BORGO VALSUGANA",TNIS00200E,220229501,Morning,0.0014084507042253,710.0,1.0,2020-21,TNIS00200E
109,109,1640991604000,High School,4,"ISTITUTO DI ISTRUZIONE ""L. GUETTI"" - TIONE DI TRENTO",TNIS00700N,221999503,Morning,0.0033222591362126,903.0,3.0,2020-21,TNIS00700N
110,110,1640991604000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. CURIE"" - PERGINE VALSUGANA",TNIS004006,221399501,Morning,0.0025839793281653,774.0,2.0,2020-21,TNIS004006
111,111,1640991604000,Professional School,5,ISTITUTO FORMAZIONE PROFESSIONALE ALBERGHIERO - ROVERETO,TNCF011001,221619597,Morning,0.0064724919093851,309.0,2.0,2020-21,TNCF011001
112,112,1640991604000,Professional School,5,ISTITUTO FORMAZIONE PROFESSIONALE ALBERGHIERO - LEVICO,TNCF010001,221049598,Morning,0.019543973941368,307.0,6.0,2020-21,TNCF010001
113,113,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,TNIC810009,222049701,Morning,0.0,380.0,0.0,2020-21,TNIC810009
114,114,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,TNIC810009,222049701,Morning,0.0,194.0,0.0,2020-21,TNIC810009
115,115,1640991604000,High School,4,ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO,TNIC810009,222049701,Morning,0.0,269.0,0.0,2020-21,TNIC810009
116,116,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO MORI,TNIC84900G,221232901,Morning,0.0,475.0,0.0,2020-21,TNIC84900G
117,117,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO MORI,TNIC84900G,221232901,Morning,0.0,295.0,0.0,2020-21,TNIC84900G
118,118,1640991604000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""G. FLORIANI"" RIVA DEL GARDA",TNIS00800D,221539501,Morning,0.0081833060556464,611.0,5.0,2020-21,TNIS00800D
119,119,1640991604000,Professional School,5,"ISTITUTO FORMAZIONE PROFESSIONALE SERVIZI ALLA PERSONA E LEGNO ""S. PERTINI"" - TRENTO",TNCF012001,222059595,Morning,0.0511508951406649,391.0,20.0,2020-21,TNCF012001
120,120,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,TNIC82900A,220742901,Morning,0.0041493775933609,482.0,2.0,2020-21,TNIC82900A
121,121,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO,TNIC82900A,220742901,Morning,0.0,290.0,0.0,2020-21,TNIC82900A
122,122,1640991604000,Primary School,2,"ISTITUTO COMPRENSIVO TRENTO 7 ""RITA LEVI MONTALCINI""",TNIC85100G,222052907,Morning,0.0,796.0,0.0,2020-21,TNIC85100G
123,123,1640991604000,Middle School,3,"ISTITUTO COMPRENSIVO TRENTO 7 ""RITA LEVI MONTALCINI""",TNIC85100G,222052907,Morning,0.0,484.0,0.0,2020-21,TNIC85100G
124,124,1640991604000,High School,4,"ISTITUTO DI ISTRUZIONE ""DON L.MILANI"" - ROVERETO",TNIS009009,221619501,Morning,0.0072992700729927,822.0,6.0,2020-21,TNIS009009
125,125,1640991604000,High School,4,"LICEO ""A. MAFFEI"" - RIVA DEL GARDA",TNPC01000Q,221539502,Morning,0.001131221719457,884.0,1.0,2020-21,TNPC01000Q
126,126,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO ROVERETO SUD,TNIC85500V,221612905,Morning,0.0,681.0,0.0,2020-21,TNIC85500V
127,127,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ROVERETO SUD,TNIC85500V,221612905,Morning,0.0,342.0,0.0,2020-21,TNIC85500V
128,128,1640991603000,Primary School,2,"ISTITUTO COMPRENSIVO CLES  ""B. CLESIO""",TNIC83100A,220622901,Morning,0.0,463.0,0.0,2020-21,TNIC83100A
129,129,1640991603000,Middle School,3,"ISTITUTO COMPRENSIVO CLES  ""B. CLESIO""",TNIC83100A,220622901,Morning,0.0,260.0,0.0,2020-21,TNIC83100A
130,130,1640991604000,High School,4,"LICEO LINGUISTICO ""S. M. SCHOLL"" - TRENTO",TNPS11000Q,222055913,Morning,0.0024213075060532,826.0,2.0,2020-21,TNPS11000Q
131,131,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO RIVA 1,TNIC841001,221532901,Morning,0.0,587.0,0.0,2020-21,TNIC841001
132,132,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO RIVA 1,TNIC841001,221532901,Morning,0.0024038461538461,416.0,1.0,2020-21,TNIC841001
133,133,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO ISERA - ROVERETO,TNIC845008,221612901,Morning,0.0,568.0,0.0,2020-21,TNIC845008
134,134,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ISERA - ROVERETO,TNIC845008,221612901,Morning,0.0,291.0,0.0,2020-21,TNIC845008
135,135,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO ROVERETO EST,TNIC853007,221612903,Morning,0.003976143141153,503.0,2.0,2020-21,TNIC853007
136,136,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ROVERETO EST,TNIC853007,221612903,Morning,0.002840909090909,352.0,1.0,2020-21,TNIC853007
